CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,mda_positive_score,mda_negative_score,mda_polarity_score,mda_average_sentence_length,mda_percentage_of_complex_words,mda_fog_index,mda_complex_word_count,mda_word_count,mda_uncertainty_score,mda_constraining_score,mda_positive_word_proportion,mda_negative_word_proportion,mda_uncertainty_word_proportion,mda_constraining_word_proportion,qqdmr_positive_score,qqdmr_negative_score,qqdmr_polarity_score,qqdmr_average_sentence_length,qqdmr_percentage_of_complex_words,qqdmr_fog_index,qqdmr_complex_word_count,qqdmr_word_count,qqdmr_uncertainty_score,qqdmr_constraining_score,qqdmr_positive_word_proportion,qqdmr_negative_word_proportion,qqdmr_uncertainty_word_proportion,qqdmr_constraining_word_proportion,rf_positive_score,rf_negative_score,rf_polarity_score,rf_average_sentence_length,rf_percentage_of_complex_words,rf_fog_index,rf_complex_word_count,rf_word_count,rf_uncertainty_score,rf_constraining_score,rf_positive_word_proportion,rf_negative_word_proportion,rf_uncertainty_word_proportion,rf_constraining_word_proportion,constraining_words_whole_report
3662,SUNBEAM CORP/FL/,199803,06-03-98,10-K405,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt,5.0,15.0,-0.4999999750000012,13.75,0.5272727272727272,5.710909090909091,203.0,385.0,5.0,0.0,0.012987012987012988,0.03896103896103896,0.012987012987012988,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1487.0
3662,SUNBEAM CORP/FL/,199805,15-05-98,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-001001.txt,3.0,26.0,-0.7931034209274682,12.323529411764708,0.5465393794749404,5.148027516495858,229.0,419.0,8.0,0.0,0.0071599045346062064,0.06205250596658711,0.01909307875894988,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1044.0
3662,SUNBEAM CORP/FL/,199808,13-08-98,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950172-98-000783.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
3662,SUNBEAM CORP/FL/,199811,12-11-98,10-K/A,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002145.txt,1.0,23.0,-0.9166666284722238,13.523809523809526,0.6584507042253521,5.672904091213951,187.0,284.0,4.0,7.0,0.0035211267605633804,0.08098591549295775,0.014084507042253518,0.02464788732394366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.0
3662,SUNBEAM CORP/FL/,199811,16-11-98,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950172-98-001203.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
3662,SUNBEAM CORP/FL/,199811,25-11-98,10-Q/A,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002278.txt,5.0,19.0,-0.5833333090277788,15.384615384615385,0.5566666666666666,6.376512820512822,334.0,600.0,20.0,0.0,0.008333333333333333,0.03166666666666667,0.03333333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0
3662,SUNBEAM CORP/FL/,199812,22-12-98,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002401.txt,4.0,4.0,0.0,14.225806451612904,0.5850340136054422,5.924336186087339,258.0,441.0,18.0,1.0,0.0090702947845805,0.0090702947845805,0.040816326530612235,0.002267573696145125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.0
3662,SUNBEAM CORP/FL/,199812,22-12-98,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002402.txt,4.0,5.0,-0.11111109876543347,14.633333333333333,0.6173120728929385,6.1002581624905075,271.0,439.0,18.0,1.0,0.009111617312072893,0.011389521640091115,0.04100227790432802,0.002277904328018223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0
3662,SUNBEAM CORP/FL/,199903,31-03-99,NT 10-K,https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-000362.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
3662,SUNBEAM CORP/FL/,199905,11-05-99,10-K,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-000775.txt,5.0,13.0,-0.4444444197530878,15.692307692307693,0.5857843137254902,6.511236802413273,239.0,408.0,12.0,7.0,0.012254901960784314,0.031862745098039214,0.029411764705882356,0.01715686274509804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.0
3662,SUNBEAM CORP/FL/,199905,17-05-99,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-000584.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
3662,SUNBEAM CORP/FL/,199906,11-06-99,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001005.txt,5.0,5.0,0.0,15.558823529411766,0.5954631379962193,6.461714666963194,315.0,529.0,23.0,1.0,0.00945179584120983,0.00945179584120983,0.043478260869565216,0.001890359168241966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
3662,SUNBEAM CORP/FL/,199908,16-08-99,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-001074.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
3662,SUNBEAM CORP/FL/,199908,19-08-99,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001361.txt,3.0,1.0,0.4999998750000312,17.4,0.6245210727969349,7.209808429118773,163.0,261.0,11.0,1.0,0.011494252873563218,0.0038314176245210726,0.0421455938697318,0.0038314176245210726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0
3662,SUNBEAM CORP/FL/,199911,08-11-99,10-K/A,https://www.sec.gov/Archives/edgar/data/3662/0000889812-99-003241.txt,5.0,10.0,-0.3333333111111126,14.227272727272727,0.5846645367412141,5.9247749056055765,183.0,313.0,12.0,6.0,0.01597444089456869,0.03194888178913738,0.038338658146964855,0.019169329073482427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0
